# Event 'cpu-clock'
#
# Baseline           Ratio  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Shared Object              
# ........  ..............  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ...........................
#
     0.01%        1.500000  [k] try_charge_memcg                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms]          
     0.01%        1.500000  [.] void std::__insertion_sort<__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__ops::_Iter_comp_iter<ceres::internal::(anonymous namespace)::BuildJacobianLayout(ceres::internal::Program const&, int, std::vector<int*, std::allocator<int*> >*, std::vector<int, std::allocator<int> >*)::{lambda(std::pair<int, int> const&, std::pair<int, int> const&)#1}> >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__ops::_Iter_comp_iter<ceres::internal::(anonymous namespace)::BuildJacobianLayout(ceres::internal::Program const&, int, std::vector<int*, std::allocator<int*> >*, std::vector<int, std::allocator<int> >*)::{lambda(std::pair<int, int> const&, std::pair<int, int> const&)#1}>)                                                                                                                                                                                                                                          pose_graph_2d              
     0.71%        1.483333  [.] sincosf32x                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 libm.so.6                  
     0.08%        1.476190  [.] std::invalid_argument::invalid_argument(char const*)@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   libstdc++.so.6.0.30        
     0.02%        1.400000  [.] ceres::internal::BlockSparseMatrix::~BlockSparseMatrix()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   pose_graph_2d              
     1.14%        1.333333  [.] ceres::internal::BlockSparseMatrix::RightMultiplyAndAccumulate(double const*, double*, ceres::internal::ContextImpl*, int) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           pose_graph_2d              
     0.02%        1.333333  [k] handle_page_fault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [kernel.kallsyms]          
     0.01%        1.333333  [.] std::basic_istream<char, std::char_traits<char> >& std::operator>><char, std::char_traits<char>, std::allocator<char> >(std::basic_istream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              libstdc++.so.6.0.30        
     0.05%        1.250000  [.] 0x00000000000df5fe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         libstdc++.so.6.0.30        
     0.03%        1.250000  [k] unmap_page_range                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms]          
     0.02%        1.250000  [.] bool ceres::examples::ReadG2oFile<ceres::examples::Pose2d, ceres::examples::Constraint2d, std::allocator<std::pair<int const, ceres::examples::Pose2d> >, std::allocator<ceres::examples::Constraint2d> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::map<int, ceres::examples::Pose2d, std::less<int>, std::allocator<std::pair<int const, ceres::examples::Pose2d> > >*, std::vector<ceres::examples::Constraint2d, std::allocator<ceres::examples::Constraint2d> >*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   pose_graph_2d              
     0.02%        1.250000  [.] ceres::internal::Program::IsFeasible(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               pose_graph_2d              
     0.02%        1.250000  [k] get_mem_cgroup_from_mm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms]          
     0.02%        1.250000  [.] std::string::push_back(char)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               libstdc++.so.6.0.30        
     4.36%        1.240254  [.] ceres::internal::InnerProductComputer::Compute()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           pose_graph_2d              
     2.93%        1.236486  [.] ceres::internal::ResidualBlock::Evaluate(bool, double*, double*, double**, double*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  pose_graph_2d              
     1.50%        1.218997  [.] void ceres::internal::ParallelFor<ceres::internal::ProgramEvaluator<ceres::internal::BlockEvaluatePreparer, ceres::internal::BlockJacobianWriter, ceres::internal::NullJacobianFinalizer>::Evaluate(ceres::internal::Evaluator::EvaluateOptions const&, double const*, double*, double*, double*, ceres::internal::SparseMatrix*)::{lambda(int, int)#1}>(ceres::internal::ContextImpl*, int, int, int, ceres::internal::ProgramEvaluator<ceres::internal::BlockEvaluatePreparer, ceres::internal::BlockJacobianWriter, ceres::internal::NullJacobianFinalizer>::Evaluate(ceres::internal::Evaluator::EvaluateOptions const&, double const*, double*, double*, double*, ceres::internal::SparseMatrix*)::{lambda(int, int)#1}&&, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       pose_graph_2d              
     0.28%        1.211268  [.] ceres::internal::BlockSparseMatrix::CreateDiagonalMatrix(double const*, std::vector<ceres::internal::Block, std::allocator<ceres::internal::Block> > const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               pose_graph_2d              
     0.06%        1.200000  [.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, double&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  libstdc++.so.6.0.30        
     0.02%        1.200000  [.] ceres::internal::Program::CopyParameterBlockStateToUserState()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             pose_graph_2d              
     0.02%        1.200000  [.] ceres::internal::Program::IsBoundsConstrained() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      pose_graph_2d              
     0.02%        1.200000  [.] ceres::internal::Program::MaxResidualsPerResidualBlock() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             pose_graph_2d              
     0.06%        1.187500  [k] clear_page                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [kernel.kallsyms]          
     0.53%        1.170370  [.] std::vector<ceres::internal::Cell, std::allocator<ceres::internal::Cell> >::_M_default_append(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               pose_graph_2d              
     0.17%        1.166667  [.] ceres::internal::Program::SetParameterOffsetsAndIndex()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    pose_graph_2d              
     0.05%        1.166667  [.] std::istream& std::istream::_M_extract<double>(double&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    libstdc++.so.6.0.30        
     0.08%        1.150000  [.] void Eigen::internal::assign_sparse_to_sparse<Eigen::SparseMatrix<int, 0, int>, Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::SparseMatrix<int, 0, int> const, Eigen::SparseMatrix<int, 0, int> const> >(Eigen::SparseMatrix<int, 0, int>&, Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::SparseMatrix<int, 0, int> const, Eigen::SparseMatrix<int, 0, int> const> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 pose_graph_2d              
     0.33%        1.144578  [.] floorf32x                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  libm.so.6                  
     0.03%        1.142857  [k] handle_mm_fault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [kernel.kallsyms]          
     0.14%        1.138889  [.] ceres::internal::IsEvaluationValid(ceres::internal::ResidualBlock const&, double const* const*, double*, double**)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         pose_graph_2d              
     0.51%        1.123077  [.] void Eigen::internal::assign_sparse_to_sparse<Eigen::SparseMatrix<double, 0, int>, Eigen::Map<Eigen::SparseMatrix<double, 0, int> const, 0, Eigen::Stride<0, 0> > >(Eigen::SparseMatrix<double, 0, int>&, Eigen::Map<Eigen::SparseMatrix<double, 0, int> const, 0, Eigen::Stride<0, 0> > const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           pose_graph_2d              
     0.11%        1.111111  [.] void Eigen::internal::conservative_sparse_sparse_product_impl<Eigen::SparseMatrix<int, 1, int>, Eigen::Transpose<Eigen::SparseMatrix<int, 0, int> const>, Eigen::SparseMatrix<int, 1, int> >(Eigen::SparseMatrix<int, 1, int> const&, Eigen::Transpose<Eigen::SparseMatrix<int, 0, int> const> const&, Eigen::SparseMatrix<int, 1, int>&, bool) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       pose_graph_2d              
     0.04%        1.111111  [.] absl::lts_20250127::container_internal::SearchResult<absl::lts_20250127::container_internal::btree_iterator<absl::lts_20250127::container_internal::btree_node<absl::lts_20250127::container_internal::map_params<double*, ceres::internal::ParameterBlock*, std::less<double*>, std::allocator<std::pair<double* const, ceres::internal::ParameterBlock*> >, 256, false> >, std::pair<double* const, ceres::internal::ParameterBlock*>&, std::pair<double* const, ceres::internal::ParameterBlock*>*>, false> absl::lts_20250127::container_internal::btree<absl::lts_20250127::container_internal::map_params<double*, ceres::internal::ParameterBlock*, std::less<double*>, std::allocator<std::pair<double* const, ceres::internal::ParameterBlock*> >, 256, false> >::internal_lower_bound<double*>(double* const&) const [clone .isra.0]                                                                                                                                                                                                                                                                                                                                                                                                             pose_graph_2d              
     0.93%        1.093617  [.] ceres::internal::BlockSparseMatrix::LeftMultiplyAndAccumulate(double const*, double*) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                pose_graph_2d              
     0.04%        1.090909  [.] void Eigen::internal::assign_sparse_to_sparse<Eigen::SparseMatrix<int, 0, int>, Eigen::Product<Eigen::Transpose<Eigen::SparseMatrix<int, 0, int> const>, Eigen::SparseMatrix<int, 0, int>, 2> >(Eigen::SparseMatrix<int, 0, int>&, Eigen::Product<Eigen::Transpose<Eigen::SparseMatrix<int, 0, int> const>, Eigen::SparseMatrix<int, 0, int>, 2> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   pose_graph_2d              
     0.17%        1.069767  [.] memset                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     libc.so.6                  
